Rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
County,Wayne,Oakland,Macomb,Kent,Genesee,Washtenaw,Ingham,Ottawa,Kalamazoo,Livingston,Saginaw,Muskegon,St. Clair,Jackson,Berrien,Monroe,Calhoun,Allegan,Eaton,Bay,Lenawee,Grand Traverse,Lapeer,Midland,Clinton,Van Buren,Isabella,Shiawassee,Marquette,Ionia,Montcalm,Barry,St. Joseph,Tuscola,Cass,Newaygo,Hillsdale,Branch,Mecosta,Sanilac,Gratiot,Chippewa,Delta,Houghton,Wexford,Emmet,Huron,Clare,Mason,Alpena,Oceana,Charlevoix,Gladwin,Cheboygan,Dickinson,Iosco,Otsego,Manistee,Roscommon,Osceola,Antrim,Menominee,Leelanau,Ogemaw,Kalkaska,Benzie,Missaukee,Arenac,Crawford,Gogebic,Presque Isle,Lake,Iron,Mackinac,Alcona,Montmorency,Alger,Oscoda,Baraga,Schoolcraft,Luce,Ontonagon,Keweenaw
Population,1749343,1257584,873972,656955,405813,367601,292406,291830,265066,191995,190539,173566,159128,158510,153401,150500,134159,118081,110268,103126,98451,93088,87607,83156,79595,75677,69872,68122,66699,64697,63888,61550,60964,52245,51787,48980,45605,43517,43453,41170,40711,37349,35784,35684,33631,33415,30981,30950,29144,28405,26467,26143,25449,25276,25239,25127,24668,24558,24019,23460,23324,22780,21761,20997,18038,17766,15118,14883,14029,13975,12592,11853,11066,10799,10405,9328,9108,8241,8209,8094,6229,5720,2116
